-1 8
15 30 ?
400 20 ?
616 20 ?
774 17 ?
1093 18.1 ?
1488 20 ?
1632 16 ?
2014 20 ?
2240 20 ?
2637 15 ?
2818 19 ?
3027 15 ?
3160 13 ?
3568 25 ?
3775 15 ?
4248 20 ?
4529 20 ?
4773 20 ?
5166 10 ?
5315 20 ?
5527 15 ?
5815 20 ?
6002 15 ?
6225 15 ?
6342 10 ?
6501 15 ?
6664 15 ?
6977 20 ?
7253 20 ?
7455 20 ?
7723 20 ?
7895 15 ?
8104 15 ?
8383 20 ?
8709 15 ?
8897 15 ?
9036 10 ?
9167 15 5.6.1986
9462 10 11.6.1986
9526 15 19.6.1986
9734 10 26.6.1986
9759 21 27.6.1986
10283 35 3.7.1986
10862 15 11.7.1986
10891 10 17.7.1986
11165 15 20.7.1986
11434 20 26.7.1986
11779 20 3.8.1986
11863 18.75 11.8.1986
12348 10 16.8.1986
12430 15 30.8.1986
12725 15 7.9.1986
12953 20 18.9.1986
13215 10 8.10.1986
13286 15 11.10.1986
13509 15 25.10.1986
13726 15 4.11.1986
13864 15 13.11.1986
14089 25 22.11.1986
14536 15 25.11.1986
14607 10 6.12.1986
14846 10 18.12.1986
14901 10 21.12.1986
15013 10 23.12.1986
15049 10 30.12.1986
15308 10 2.1.1987
15450 15 17.1.1987
15576 10 27.1.1987
15733 10 14.2.1987
15804 15 21.2.1987
16082 10 26.2.1987
16217 15 28.2.1987
16426 15 10.3.1987
16647 15 22.3.1987
16807 15 16.4.1987
17002 15 26.4.1987
17268 20 11.5.1987
17439 15 13.5.1987
17717 15 24.5.1987
17907 30 13.6.1987
18338 10 21.6.1987
18507 32 3.7.1987
18942 25 11.7.1987
19333 16 11.7.1987
19669 20 19.7.1987
19965 15 26.7.1987
20111 15 1.8.1987
20236 20 8.8.1987
20726 25 12.8.1987
21171 20 12.8.1987
21462 25 22.8.1987
21800 20 29.8.1987
22107 20 5.9.1987
22466 10 13.9.1987
22669 10 23.9.1987
22749 15 24.10.1987
22958 10 4.11.1987
23039 20 15.11.1987
23389 20 5.11.1987
23614 30 26.12.1987
24024 20 8.1.1988
24275 10 18.1.1988
24399 15 14.2.1988
24592 15 26.2.1988
24748 15 12.3.1988
24930 15 26.3.1988
25148 10 17.4.1988
25289 10 24.4.1988
25371 15 8.5.1988
25622 15 29.5.1988
25856 15 4.6.1988
25982 10 24.6.1988
26098 15 9.7.1988
26242 15 16.7.1988
26592 20 22.7.1988
26916 15 4.8.1988
27074 15 12.8.1988
27375 15 20.8.1988
27593 15 27.8.1988
27858 15 18.9.1988
27981 20 24.9.1988
28266 15 22.10.1988
28459 10 28.10.1988
28693 35 10.11.1988
29008 20 20.12.1988
29359 15 1.1.1989
29506 10 14.1.1989
29623 10 29.1.1989
29701 15 16.2.1989
29975 10 26.2.1989
30056 15 11.3.1989
30252 10 27.3.1989
30297 10 1.4.1989
30543 15 15.4.1989
30699 15 30.4.1989
30844 25 11.5.1989
31209 15 21.5.1989
31564 15 3.6.1989
31644 15 23.6.1989
31854 20 8.7.1989
32218 15 15.7.1989
32453 15 23.7.1989
32658 20 29.7.1989
32927 15 2.9.1989
33100 15 17.9.1989
33295 15 21.10.1989
33537 20 24.11.1989
33789 20 27.12.1989
33982 15 28.1.1990
34171 20 25.2.1990
34488 20 17.3.1990
34600 15 13.4.1990
34895 15 3.5.1990
35110 15 11.5.1990
35186 24 20.5.1990
35681 20 25.5.1990
35938 15 12.6.1990
36056 20 30.6.1990
36246 15 7.7.1990
36564 20 11.7.1990
36824 20 16.7.1990
37035 10 4.8.1990
37228 15 9.8.1990
37402 15 11.8.1990
37796 20 21.8.1990
38002 24 1.9.1990
38335 25 21.10.1990
38910 30 30.11.1990
-1 16
39216 20 30.12.1990
39252 15 22.1.1991
39464 20 4.2.1991
39864 10 5.4.1991
39946 10 4.5.1991
40126 15 10.5.1991
40318 15 25.5.1991
40578 20 22.6.1991
